RUBRO;SUB_RUBRO;MARCA;MARCA_APERNET_ID;SUCURSAL;SUCURSAL_APERNET_ID;CALLE;NRO;LOCALIDAD;LATITUD;LONGITUD;LOCALIDAD_ZONAL;LOCALIDAD_ZONA
Moda;Indumentaria Deportiva;Family Sports;80;Pilar;6834;Av. Lagomarsino;905;PILAR;-34,649;-58,51633;PILAR / ESCOBAR / ZARATE / CAMPANA;GBA Norte
Moda;Indumentaria Deportiva;Family Sports;80;TEMPERLEY;14455;Av. Hipolito Yrigoyen;10656;TEMPERLEY;-34,78104;-58,40652;LOMAS / ALMTE. BROW / ESTEBAN ECHEVERRIA / EZEIZA;GBA Sur
Moda;Indumentaria Deportiva;Family Sports;80;Parque Comercial Avellaneda;16304;Autopista La Plata;km 9;AVELLANEDA;-34,64817;-58,41688;LANUS / AVELLANEDA;GBA Sur
Moda;Indumentaria Deportiva;Family Sports;80;Parque Comercial Quilmes;205;Calchaqui y Rodolfo López;700;QUILMES;-34,72515;-58,27348;QUILMES / FCIO VARELA / BERAZATEGUI;GBA Sur
Moda;Indumentaria Deportiva;Family Sports;80;San Justo II;217;Arieta;3162;SAN JUSTO;-34,67894;-58,56018;MATANZA;GBA Oeste
Moda;Indumentaria Deportiva;Family Sports;80;Laferrere;223;Luro;6181;GREGORIO DE LAFERRERE;-34,75042;-58,58482;MATANZA;GBA Oeste
Moda;Indumentaria Deportiva;Family Sports;80;Martinez;14680;Alvear;170;MARTINEZ;-34,48866;-58,49873;SAN ISIDRO;GBA Norte
Moda;Indumentaria Deportiva;Family Sports;80;Carrefour Adrogué;200;Av. Hipólito Yrigoyen;13499;ADROGUE;-34,81217;-58,39949;LOMAS / ALMTE. BROW / ESTEBAN ECHEVERRIA / EZEIZA;GBA Sur
Moda;Indumentaria Deportiva;Family Sports;80;Las Cañitas;183;Arce;940;PALERMO;-34,56728;-58,4371;CABA NORTE;CABA
Moda;Indumentaria Deportiva;Family Sports;80;Rocamadour Plaza Oeste;5998;J. M. de Rosas (ex Vergara) y Aut. del Oeste;;MORON;-34,65586;-58,61672;MORON / ITUZAINGO / HURLINGHAM / MERLO;GBA Oeste
Moda;Indumentaria Deportiva;Family Sports;80;Florencio Varela - Carrefour;197;Av San Martín;550;FLORENCIO VARELA;-34,75928;-58,29831;QUILMES / FCIO VARELA / BERAZATEGUI;GBA Sur
Moda;Indumentaria Deportiva;Family Sports;80;WalMart Avellaneda;224;Autopista Buenos Aires - La Plata y Nicaragua;861;AVELLANEDA;-34,67821;-58,33689;LANUS / AVELLANEDA;GBA Sur
Moda;Indumentaria Deportiva;Family Sports;80;Carrefour San Justo Inalámbricas;11007;Don Bosco;2680;SAN JUSTO;-34,65805;-58,59139;MATANZA;GBA Oeste
Moda;Indumentaria Deportiva;Family Sports;80;Morón -;173;Rivadavia;18263;MORON;-34,64923;-58,62062;MORON / ITUZAINGO / HURLINGHAM / MERLO;GBA Oeste
Moda;Indumentaria Deportiva;Family Sports;80;San Justo III;218;Arieta;3298;SAN JUSTO;-34,68011;-58,55868;MATANZA;GBA Oeste
Moda;Indumentaria Deportiva;Family Sports;80;San Isidro;4550;Belgrano;138;SAN ISIDRO;-34,47086;-58,51289;SAN ISIDRO;GBA Norte
Moda;Indumentaria Deportiva;Family Sports;80;Carrefour Lomas;226;Oliden;452;LOMAS DE ZAMORA;-34,76468;-58,40342;LOMAS / ALMTE. BROW / ESTEBAN ECHEVERRIA / EZEIZA;GBA Sur
Moda;Indumentaria Deportiva;Family Sports;80;Carrefour San Fernando;6835;Ruta 202 y Acceso Tigre;;SAN FERNANDO;-34,45285;-58,57511;TIGRE / SAN FERNANDO;GBA Norte
Moda;Indumentaria Deportiva;Family Sports;80;San Francisco Solano;219;Av. 844;2555;SAN FRANCISCO SOLANO;-34,80653;-58,29652;QUILMES / FCIO VARELA / BERAZATEGUI;GBA Sur
Moda;Indumentaria Deportiva;Family Sports;80;San Justo;186;Av. Provincias Unidas;3580;SAN JUSTO;-34,68271;-58,55486;MATANZA;GBA Oeste
Moda;Indumentaria Deportiva;Family Sports;80;Venta Telefonica;5996;vta telefonica;;VILLA CRESPO;-34,6;-58,45;CABA OESTE;CABA
Moda;Indumentaria;Fancy;4594;Villa Urquiza;11272;Olazabal;4961;VILLA URQUIZA;-34,57576;-58,48469;CABA NORTE;CABA
Heladerías;Heladerías;Faricci;34641;Faricci-Moron;44657;Carlos Casares;1131;MORON;-34,64833;-58,64415;MORON / ITUZAINGO / HURLINGHAM / MERLO;GBA Oeste
Cuidado Personal;Farmacias y Perfumerías;Farmacia 25 de Mayo;5455;Gualeguaychú;13236;25 DE MAYO;900;GUALEGUAYCHU;-33,00943;-58,51717;INTERIOR;INTERIOR
Cuidado Personal;Farmacias y Perfumerías;FARMACIA ALPINA;116353;FARMACIA ALPINA;126571;PRES ARTURO H ILLIA;738;NEUQUEN;-38,94708;-68,04533;INTERIOR;INTERIOR
Cuidado Personal;Farmacias y Perfumerías;FARMACIA ALPINA;116353;FARMACIA ALPINA;126355;ALDERETE;57;NEUQUEN;-38,95098;-68,02912;INTERIOR;INTERIOR
Cuidado Personal;Farmacias y Perfumerías;FARMACIA ALPINA;116353;FARMACIA ALPINA;126570;GRAL SAN MARTIN;4305;NEUQUEN;-38,95457;-68,11926;INTERIOR;INTERIOR
Cuidado Personal;Farmacias y Perfumerías;FARMACIA ALPINA;116353;FARMACIA ALPINA;126354;SARMIENTO;348;NEUQUEN;-38,9574;-68,06644;INTERIOR;INTERIOR
Cuidado Personal;Farmacias y Perfumerías;FARMACIA ALPINA;116353;FARMACIA ALPINA;126569;GRAL MANUEL BELGRANO;2715;NEUQUEN;-38,95037;-68,09753;INTERIOR;INTERIOR
Cuidado Personal;Farmacias y Perfumerías;Farmacia Americana;5812;Lomas de Zamora;14070;Av. Meeks;37;LOMAS DE ZAMORA;-34,76143;-58,39824;LOMAS / ALMTE. BROW / ESTEBAN ECHEVERRIA / EZEIZA;GBA Sur
Cuidado Personal;Farmacias y Perfumerías;Farmacia Bauza;5519;Mar del Plata;13354;Rivadavia;2320;MAR DEL PLATA;-38,00168;-57,54469;INTERIOR;INTERIOR
Cuidado Personal;Farmacias y Perfumerías;Farmacia Bauza;5519;Mar del Plata;13358;Alberti;1601;MAR DEL PLATA;-38,01176;-57,54273;INTERIOR;INTERIOR
Cuidado Personal;Farmacias y Perfumerías;Farmacia Bauza;5519;Mar del Plata;13352;Av. Luro;3400;MAR DEL PLATA;-37,9945;-57,55436;INTERIOR;INTERIOR
Cuidado Personal;Farmacias y Perfumerías;Farmacia Bauza;5519;Mar del Plata;13355;Quemes;3102;MAR DEL PLATA;-38,01724;-57,54288;INTERIOR;INTERIOR
Cuidado Personal;Farmacias y Perfumerías;Farmacia Bauza;5519;Mar del Plata;13353;Rivadavia;3201;MAR DEL PLATA;-37,96223;-57,62273;INTERIOR;INTERIOR
Cuidado Personal;Farmacias y Perfumerías;Farmacia Bauza;5519;Mar del Plata;13351;Av. Luro;3499;MAR DEL PLATA;-37,99398;-57,55528;INTERIOR;INTERIOR
Cuidado Personal;Farmacias y Perfumerías;Farmacia Bauza;5519;Mar del Plata;13356;Alem;3565;MAR DEL PLATA;-38,02642;-57,5349;INTERIOR;INTERIOR
Cuidado Personal;Farmacias y Perfumerías;Farmacia Bauza;5519;Mar del Plata;13357;Av. Luro;2692;MAR DEL PLATA;-37,99821;-57,5471;INTERIOR;INTERIOR
Cuidado Personal;Farmacias y Perfumerías;FARMACIA BORQUE;115143;FARMACIA BORQUE;125149;F C RODRIGUEZ;3889;SANTA FE;-31,6473;-60,7091;INTERIOR;INTERIOR
Cuidado Personal;Farmacias y Perfumerías;Farmacia Constitución;37026;Farmacias Constitucion - MAR DEL PLATA II;47079;Av. Constitución;6001;MAR DEL PLATA;-37,96048;-57,56586;INTERIOR;INTERIOR
Cuidado Personal;Farmacias y Perfumerías;Farmacia Constitución;37026;Farmacias Constitucion - MAR DEL PLATA;47070;Av. Constitución;6001;MAR DEL PLATA;-37,93988;-57,60719;INTERIOR;INTERIOR
Cuidado Personal;Farmacias y Perfumerías;Farmacia Constitución;37026;Farmacias Constitucion - MAR DEL PLATA IV;47080;Av. Constitución;6679;MAR DEL PLATA;-37,95701;-57,57258;INTERIOR;INTERIOR
Cuidado Personal;Farmacias y Perfumerías;Farmacia Constitución;37026;Farmacias Constitucion - MAR DEL PLATA IV;47075;Av. Juan B. Justo;494;MAR DEL PLATA;-38,03689;-57,54972;INTERIOR;INTERIOR
Cuidado Personal;Farmacias y Perfumerías;Farmacia Constitución;37026;Farmacias Constitucion - MAR DEL PLATA VII;47081;Av. Juan B. Justo;494;MAR DEL PLATA;-38,03689;-57,54972;INTERIOR;INTERIOR
Cuidado Personal;Farmacias y Perfumerías;Farmacia Constitución;37026;Farmacias Constitucion - MAR DEL PLATA III;47074;Av. Constitución;6995;MAR DEL PLATA;-37,93974;-57,60672;INTERIOR;INTERIOR
Cuidado Personal;Farmacias y Perfumerías;Farmacia Constitución;37026;Farmacias Constitucion - MAR DEL PLATA II;47073;Av. Constitución;6679;MAR DEL PLATA;-37,93966;-57,6069;INTERIOR;INTERIOR
Compras;Otros;Farmacia Donadio;113660;farmacia donadio;125177;F J DE LA ROSA;322;SANTA FE;-31,60545;-60,66845;INTERIOR;INTERIOR
Cuidado Personal;Farmacias y Perfumerías;FARMACIA LABATH;116269;FARMACIA LABATH;126272;SANTIAGO DEL ESTERO;3142;SANTA FE;-31,63631;-60,71106;INTERIOR;INTERIOR
