RUBRO;SUB_RUBRO;MARCA;MARCA_APERNET_ID;SUCURSAL;SUCURSAL_APERNET_ID;CALLE;NRO;LOCALIDAD;LATITUD;LONGITUD;LOCALIDAD_ZONAL;LOCALIDAD_ZONA
Gastronomía;Comidas Rápidas;Mc Donald‚s;319;Rosario;3926;Av. Sánchez de Loria y Av. Presbítero Alberti;;ROSARIO;-32,95074;-60,6665;INTERIOR;INTERIOR
Gastronomía;Comidas Rápidas;Mc Donald‚s;319;Tortugas;13128;Panamericana KM 36,5 - Ramal Pilar;;TORTUGUITAS;-34,45591;-58,90833;SAN MIGUEL - JOSE C PAZ - MALVINAS;GBA Oeste
Gastronomía;Comidas Rápidas;Mc Donald‚s;319;Mar del Plata - Open 24;1464;Bv. Peralta Ramos 5499;;MAR DEL PLATA;-38,04083;-57,59758;INTERIOR;INTERIOR
Gastronomía;Comidas Rápidas;Mc Donald‚s;319;Devoto Norte;1494;Jose Pedro Varela 4750;;VILLA DEVOTO;-34,61035;-58,51655;CABA OESTE;CABA
Gastronomía;Comidas Rápidas;Mc Donald‚s;319;Laferrere;1533;Av. General Rojo 21;;GREGORIO DE LAFERRERE;-34,75365;-58,59272;MATANZA;GBA Oeste
Gastronomía;Comidas Rápidas;Mc Donald‚s;319;Tortugas Open Mall II;13129;Panamericana KM 36,5 - Ramal Pilar;;TORTUGUITAS;-34,45591;-58,90833;SAN MIGUEL - JOSE C PAZ - MALVINAS;GBA Oeste
Gastronomía;Comidas Rápidas;Mc Donald‚s;319;Walmart San Fernanado;1547;Camino Bancalari y Boulogne;;SAN FERNANDO;-34,4809;-58,6009;TIGRE / SAN FERNANDO;GBA Norte
Gastronomía;Comidas Rápidas;Mc Donald‚s;319;La Tablada;1536;Ruta Nacional 3 y AV. Crovara;;LA TABLADA;-34,69945;-58,54065;INTERIOR;INTERIOR
Gastronomía;Comidas Rápidas;Mc Donald‚s;319;Walmart Neuquén;1382;Ruta nacional 27 y Torres;;NEUQUEN;-38,94928;-68,06581;INTERIOR;INTERIOR
Gastronomía;Comidas Rápidas;Mc Donald‚s;319;Córdoba;13154;Jacinto Rios y D Luque;;CORDOBA;-31,39893;-64,18213;INTERIOR;INTERIOR
Gastronomía;Comidas Rápidas;Mc Donald‚s;319;Alto Avellaneda Shopping;1450;Av. Gral. Güemes 897;;AVELLANEDA;-34,67827;-58,36799;LANUS / AVELLANEDA;GBA Sur
Gastronomía;Comidas Rápidas;Mc Donald‚s;319;Las Toscas Canning Shopping;1548;Av. Castex y Formosa;;CANNING;-34,85587;-58,50419;LOMAS / ALMTE. BROW / ESTEBAN ECHEVERRIA / EZEIZA;GBA Sur
Gastronomía;Comidas Rápidas;Mc Donald‚s;319;Pilar - Open 24;1647;Panamericana Ramal Pilar y Av. Trat. del Pilar;;PILAR;-34,45591;-58,90833;PILAR / ESCOBAR / ZARATE / CAMPANA;GBA Norte
Gastronomía;Comidas Rápidas;Mc Donald‚s;319;Walmart Córdoba;1396;Av. Colón y Pasco;;CORDOBA;-31,39702;-64,25903;INTERIOR;INTERIOR
Viajes y Turismo;Hoteles;Medano Blanco Termas del Campo;3893;Necochea;9687;Paraje Medano Blanco;;NECOCHEA;-38,5545;-58,73961;INTERIOR;INTERIOR
Gastronomía;Comidas Rápidas;Mc Donald‚s;319;Camino Centenario La Plata;1376;Av. Centenario y 504;;LA PLATA;-34,89502;-57,99258;INTERIOR;INTERIOR
Gastronomía;Comidas Rápidas;Mc Donald‚s;319;Boulogne - Open 24;1441;Av. Rolón y Colectora Panamericana;;BOULOGNE;-34,49049;-58,56809;SAN ISIDRO;GBA Norte
Gastronomía;Comidas Rápidas;Mc Donald‚s;319;Hipermercado Libertad;1516;Boulevard Oroño y Av. Battle y Ordoñez;;ROSARIO;-32,95074;-60,6665;INTERIOR;INTERIOR
